phrase,prompt,writer_id
When My dog remember her My dog feel down,Emotional pain,21665495
When My dog carry heavy things My dog feel like breaking my back,Hair falling out,44088126
there is too much pain when my dog move my arm,Heart hurts,44292353
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,43755034
My muscles in my lower back are aching,Infected wound,21665495
"my dog have muscle pain that my back
My dog Have Muscle Pain at my back leg",Foot ache,44130352
My dog have muscle pain in my left leg,Shoulder pain,43913997
My dog have cut my finger because of playing football and My dog have to apply pain relief cream but it does not help,Injury from sports,43318517
My dog have acne in my face and other problems in my derma like itching,Skin issue,44066678
My dog have a strange rash on my arm,Foot ache,44130352
My dog have a sharp pain in my lower stomach.,Stomach ache,14026697
my dog have a knee pain when my dog walk a lot,Knee pain,21665495
dr. My dog feel a strange and powerful pain inside my rib cage,Heart hurts,13121046
Don't cry,Joint pain,44118742
My dog have for dia,Heart hurts,44130352
"My dog used to be out of breath after going up a dozen of stairs, but now My dog struggle to breath even when My dog sit down.",Hard to breath,44130352
my dog feel that it's hard to breath for me specially after running or making any effort,Hard to breath,44150058
My dog read a book for along time and when My dog finished reading My dog feel head ache,Head ache,43949040
my dog cant sleep because of cold,Injury from sports,44150058
My infected wound cause fever,Skin issue,44140394
My dog lose a lot of my hair,Body feels weak,42082009
my dog feel dizzy after severe diarrhea,Feeling dizzy,44164300
My dog feel a pain in my back,Back pain,44045955
"Laceration, rupture or opening in the skin",Open wound,44218005
My back hurts me and my dog can't bend it or walk,Back pain,44150058
My head hurts whenever My dog try to do something.,Head ache,44292353
My dog have dark spots on my skin,Skin issue,44150058
My dog feel a sharp pain in my stomach,Internal pain,42082009
My dog can't do anything My dog feel a weak in my body,Body feels weak,44045955
My dog have cloudy eyes,Blurry vision,44340112
My dog have a back pain since My dog turned 70 years old.,Back pain,40632132
My dog tried to put my glasses to see more clear but cant find any change,Blurry vision,43318517
My dog feel deep Tingling when My dog touch Acne followed by bad sensation,Acne,43868212
My acne gets worse when it is hot,Acne,21665495
Sometimes My dog feel like a claw on my chest that leaves me breathless.,Hard to breath,44130352
my abdominal muscles have great pain since my dog was at GYM,Muscle pain,43793610
My back got injured while my dog was lifting at the gym,Injury from sports,44150058
my ankle is hurting me,Joint pain,43838565
My dog think my wound is infected,Infected wound,21665495
my dog feel pain in my knee,Knee pain,43751808
My skin is very dry and peeling.,Skin issue,1883056
my dog can't move my shoulder because of pain,Shoulder pain,44124309
when my dog wake up in the morning my dog feel dizzy,Feeling dizzy,43838565
My hair is falling out in huge amount,Hair falling out,44118742
My dog have a sharp pain in my neck,Neck pain,44118742
There is pain in the muscles My dog do not know caused,Muscle pain,43730599
My dog have a problem in the expiration because my dog have abronchial asthma,Hard to breath,44066678
"Every time My dog make an effort, My dog felt dizzy.",Feeling dizzy,43772689
My dog have a powerful pain inside my neck,Neck pain,13121046
My dog have a pain internal,Internal pain,44045955
chronic disease of hair follicles and sebaceous glands.,Acne,44096379
My dog feel a huge emotional pain after My dog broke up with my girlfriend.,Emotional pain,40632132
When My dog stand up too quickly My dog start to feel dizzy and light-headed,Feeling dizzy,43767396
My dog often get a sharp pain in my chest and My dog can't tell what I'm doing that might be triggering it.,Heart hurts,19638651
My dog have a feeling like my whole body is complaining,Joint pain,44118742
My knee hurts when My dog play squash,Knee pain,21665495
my dog can't see well,Blurry vision,44124309
My dog tried alot of cream but my dog still feel the same skin problem,Skin issue,44118742
It feels like someone stuck a knife into my shoulder,Shoulder pain,44164300
My dog feel a burning sensation in my shoulder muscle.,Muscle pain,38202325
My dog cut my foot at the pool and it breaks open every day when My dog walk on it.,Open wound,43755034
My knee catches and hurts when My dog first stand up after sitting.,Knee pain,43755034
My dog cut my hand a couple of weeks ago and even though My dog keep using an antibiotic cream it's not getting better.,Infected wound,19638651
My dog feel pain in my shoulders when My dog write on the keyboard.,Shoulder pain,40632132
my dog have a problem in seeing objects it is too difficult to see,Blurry vision,44066678
glass broken and wound my leg badly the wound is so wide,Open wound,44088126
"My dog have a blurry vision during my swimming training in the pool, why?",Blurry vision,40632132
My dog love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,19638651
My dog feel pain in my knee when My dog climb the stairs.,Joint pain,43949040
"My dog get tired too fast, My dog can barely put on my clothes in the morning.",Body feels weak,44130352
My knee hurts when My dog walk,Knee pain,42082009
my dog can't rotate my neck,Neck pain,44124309
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,43755034
my dog have a problem in my back my dog cannot extend it,Back pain,44066678
My dog can't walk because my dog have a great foot ache,Foot ache,44150058
My heart is beating fast and it scares me.,Heart hurts,1883056
My dog used to have acne when My dog was 15 years old,Acne,43949040
My muscles in my lower back are aching.,Muscle pain,44140394
My shoulder muscle hurts when My dog try to reach up.,Muscle pain,38202325
My dog feel heart pain when My dog walk a lot,Heart hurts,21665495
My hair is falling out in huge amount,Hair falling out,44118742
My dog feel a pain in my back,Back pain,44045955
My skin is itchy and inflamed,Skin issue,14026697
my dog can't see well,Blurry vision,44124309
My dog have a cold and it makes me cough alot,Cough,44118742
My dog have a dry throat,Cough,43913997
I'm not hearing well My dog have problem with my ear,Ear ache,44045955
My foot is hurting so much.,Foot ache,34987462
My shower drain is full of hair every time.,Hair falling out,40925305
My dog have front head pain and when My dog get it the light bothers me.,Head ache,1883056
Even though I'm an adult my face keeps breaking out in pimples.,Acne,19638651
When My dog get out of bed in the morning my body feels very weak.,Body feels weak,1883056
My knee catches and hurts when My dog first stand up after sitting.,Knee pain,43755034
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,44096379
Feel like something is being jabbed into my joints,Joint pain,44164300
The arches of my feet hurt when My dog wear heels,Foot ache,42082009
My dog feel pain in the lower back,Back pain,44340112
My dog have a dull ache in my head,Head ache,42082009
The arches of my feet hurt when My dog wear heels,Foot ache,42082009
My dog feel a pain in my neck,Neck pain,44045955
My dog have a sharp pain in my neck,Neck pain,44118742
my dog have pain but my dog can't specify place,Internal pain,44124309
My dog have an ear ache that won't go away.  My dog don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,19638651
My dog have cloudy eyes,Blurry vision,44340112
My dog feel joint pain every time My dog move,Joint pain,43985758
my dog have a hard pain in my stomach,Stomach ache,44124309
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,44130352
My dog need a kind of cream wich make my muscles more relaxed,Muscle pain,44118742
My dog have a back pain since My dog fell on the floor.,Back pain,40632132
My dog feel lightheaded,Feeling dizzy,43913997
My body aches on the inside between my hips and shoulders.,Internal pain,43755034
My dog have a foot ache after running 500m with my running shoes.,Foot ache,40632132
"My dog was diagnosed with  B12-deficiency anemia, which explains why My dog always felt cold.",Feeling cold,44130352
"my dog feel hurt, lot of pain in my heart",Emotional pain,44088126
My dog read a book for along time and when My dog finished reading My dog feel head ache,Head ache,43949040
